from,to,day,time
,מעלה אדומים,,
,ב"ש,,17:30-18:00
ב"ש,ירושלים,,10:30
,ירושלים,,18:30
ב"ש,ירושלים,,8:00-9:00
ירושלים,באר שבע,,
,ירושלים,חמישי,
ב"ש,מבשרת,,
בש,ירושלים,,
ב"ש,,חמישי,
,,רביעי,17:00
,,,
באר שבע,ירושלים,חמישי,18:00
ב"ש,ירושלים,,
באר שבע,ירושלים,,
ב"ש,ירושלים,רביעי,19:30
בש,ירושלים,,06:15
,ירושלים,חמישי,
ירושלים,תל אביב,,
ירושלים,תל אביב,,19:00
ירושלים,,,
,ירושלים,,
ירושלים,ראשון,שלישי,
ירושלים,,,
,,,
,חיפה,,
ירושלים,ראשון לציון,,
